Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","064","Bhoutan","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","56.94","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","064","Bhoutan","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","37.11","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","068","Bolivie (État plurinational de)","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","1925","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","068","Bolivie (État plurinational de)","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","1945","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","068","Bolivie (État plurinational de)","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","38.84","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","068","Bolivie (État plurinational de)","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","40.5","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","068","Bolivie (État plurinational de)","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","24.35","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","068","Bolivie (État plurinational de)","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","24.38","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","070","Bosnie-Herzégovine","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2701","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","070","Bosnie-Herzégovine","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","2679","E","Valeur estimée"
